"ID příspěvku","Přímý odkaz","Zpráva příspěvku",Typ,Země,Jazyky,"Příspěvky uživatele","Zacílení na okruh uživatelů","Dlouhodobý Celkový dosah příspěvku","Dlouhodobý Organický dosah příspěvku","Dlouhodobý Placený dosah příspěvku","Dlouhodobý Celkový počet zobrazení příspěvku","Dlouhodobý Počet zobrazení organického příspěvku","Dlouhodobý Počet placených zobrazení příspěvku","Dlouhodobý Aktivní uživatelé","Dlouhodobý Konzumenti příspěvků","Dlouhodobý Využití příspěvků","Dlouhodobý Negativní ohlas","Dlouhodobý Negativní ohlas od uživatelů","Dlouhodobý Počet zobrazení příspěvků od lidí, kterým se vaše stránka líbí","Dlouhodobý Dosah příspěvků podle fanoušků vaší stránky","Dlouhodobý Počet placených zobrazení příspěvků od lidí, kterým se vaše stránka líbí","Dlouhodobý Placený dosah příspěvku podle fanoušků vaší stránky","Dlouhodobý Lidé, kterým se líbí vaše stránka a vyjádřili se k vašemu příspěvku","Dlouhodobý Organická zhlédnutí do 95 %","Dlouhodobý Organická zhlédnutí do 95 %","Dlouhodobý Placená zhlédnutí do 95 %","Dlouhodobý Placená zhlédnutí do 95 %","Dlouhodobý Organická zhlédnutí videa","Dlouhodobý Organická zhlédnutí videa","Dlouhodobý Zhlédnutí placeného videa","Dlouhodobý Zhlédnutí placeného videa","Dlouhodobý Průměrná doba sledování videa","Dlouhodobý Délka videa","Dlouhodobý Mluví o tom (příspěvek) podle typu akce - comment","Dlouhodobý Mluví o tom (příspěvek) podle typu akce - like","Dlouhodobý Mluví o tom (příspěvek) podle typu akce - share","Dlouhodobý Příběhy na příspěvky podle typu akce - comment","Dlouhodobý Příběhy na příspěvky podle typu akce - like","Dlouhodobý Příběhy na příspěvky podle typu akce - share","Dlouhodobý Uživatelé příspěvku (podle typu) - clicks to play","Dlouhodobý Uživatelé příspěvku (podle typu) - link clicks","Dlouhodobý Uživatelé příspěvku (podle typu) - other clicks","Dlouhodobý Uživatelé příspěvku (podle typu) - photo view","Dlouhodobý Využití příspěvků podle typu - clicks to play","Dlouhodobý Využití příspěvků podle typu - link clicks","Dlouhodobý Využití příspěvků podle typu - other clicks","Dlouhodobý Využití příspěvků podle typu - photo view","Dlouhodobý Negativní ohlas - hide_all_clicks","Dlouhodobý Negativní ohlas - hide_clicks","Dlouhodobý Negativní ohlas od uživatelů podle typu - hide_all_clicks","Dlouhodobý Negativní ohlas od uživatelů podle typu - hide_clicks","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 0","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 1","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 2","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 3","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 4","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 5","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 6","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 7","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 8","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 9","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 10","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 11","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 12","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 13","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 14","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 15","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 16","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 17","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 18","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 19","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 20","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 21","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 22","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 23","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 24","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 25","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 26","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 27","Dlouhodobý Procentuální podíl diváků v každém intervalu (videopříspěvek) - 28"
,,,,,,,,"Dlouhodobý Celkový počet lidí, kterým byl příspěvek stránky zobrazen (Jedineční uživatelé)","Dlouhodobý Počet lidí, kteří viděli příspěvek vaší stránky ve svém kanálu vybraných příspěvků nebo na panelu používaných aplikací, případně na Timeline stránky (Jedineční uživatelé)","Dlouhodobý Počet lidí, kterým se zobrazil příspěvek vaší inzerované stránky (Jedineční uživatelé)","Dlouhodobý Počet zobrazení příspěvku na vaší stránce (Celkový počet)","Dlouhodobý Počet zobrazení vašeho příspěvku v kanálu vybraných příspěvků nebo na panelu používaných aplikaci nebo na Timeline stránky (Celkový počet)","Dlouhodobý Počet zobrazení vašeho příspěvku na stránce v reklamě nebo ve sponzorovaném příběhu. (Celkový počet)","Dlouhodobý Počet lidí, kteří kliknuli kdekoli ve vašich příspěvcích (Jedineční uživatelé)","Dlouhodobý Počet lidí, kteří klikli kdekoli ve vašem příspěvku. (Jedineční uživatelé)","Dlouhodobý Počet kliknutí kdekoli ve vašem příspěvku. (Celkový počet)","Dlouhodobý Počet uživatelů, kteří se k vašemu příspěvky vyjádřili negativně. (Jedineční uživatelé)","Dlouhodobý Počet negativních ohlasů na váš příspěvek (Celkový počet)","Dlouhodobý Počet zobrazení příspěvků vaší stránky lidem, kterým se vaše stránka líbí (Celkový počet)","Dlouhodobý Počet lidí, kteří viděli příspěvek vaší stránky, protože vaši stránku označili jako To se mi líbí (Jedineční uživatelé)","Dlouhodobý Počet placených zobrazení příspěvků vaší stránky lidem, kterým se vaše stránka líbí (Celkový počet)","Dlouhodobý Počet lidí, kterým se vaše stránka líbí a kteří viděli příspěvek vaší stránky v reklamě nebo sponzorovaném příspěvku. (Jedineční uživatelé)","Dlouhodobý Počet lidí, kterým se líbí vaše stránka a kliknuli kdekoli ve vašich příspěvcích (Jedineční uživatelé)","Dlouhodobý Počet zhlédnutí videa do 95 % jeho délky bez placené propagace, včetně zobrazení s přeskočením do tohoto bodu. (Celkový počet)","Dlouhodobý Počet zhlédnutí videa do 95 % jeho délky bez placené propagace, včetně zobrazení s přeskočením do tohoto bodu. (Jedineční uživatelé)","Dlouhodobý Počet zhlédnutí videa do 95 % jeho délky na základě placené propagace, včetně zobrazení s přeskočením do tohoto bodu. (Celkový počet)","Dlouhodobý Počet zhlédnutí videa do 95 % jeho délky na základě placené propagace, včetně zobrazení s přeskočením do tohoto bodu. (Jedineční uživatelé)","Dlouhodobý Počet, kolikrát bylo vaše video zhlédnuto po dobu delší než 3 s bez placené propagace (Celkový počet)","Dlouhodobý Počet, kolikrát bylo vaše video zhlédnuto po dobu delší než 3 s bez placené propagace (Jedineční uživatelé)","Dlouhodobý Kolikrát bylo vaše video zobrazeno déle než 3 s po placené propagaci (Celkový počet)","Dlouhodobý Kolikrát bylo vaše video zobrazeno déle než 3 s po placené propagaci (Jedineční uživatelé)","Dlouhodobý Průměrná doba sledování videa (Celkový počet)","Dlouhodobý Délka videopříspěvku (Celkový počet)","Dlouhodobý Počet jedinečných lidí, kteří vytvořili příběh o příspěvku vaší stránky tím, že s ním provedli interakci (Jedineční uživatelé)",,,"Dlouhodobý Počet příspěvků vytvořených v návaznosti na příspěvek na vaší stránce podle typu akce (Celkový počet)",,,"Dlouhodobý Počet lidí, kteří klikli kdekoli ve vašem příspěvku, podle typu. (Jedineční uživatelé)",,,,"Dlouhodobý Počet kliknutí kdekoli ve vašem příspěvku, podle typu. (Celkový počet)",,,,"Dlouhodobý Počet uživatelů, kteří se k vašemu příspěvku vyjádřili negativně (podle typu). (Jedineční uživatelé)",,"Dlouhodobý Počet negativních ohlasů na váš příspěvek podle typu (Celkový počet)",,"Dlouhodobý Zhlédnutí vašeho videa v každém okamžiku jako procentní podíl ze všech zhlédnutí, včetně zhlédnutí kratších než 3 s (videopříspěvek) (Celkový počet)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
134937073279530_1084273568345871,https://www.facebook.com/notes/drmax-l%C3%A9k%C3%A1rna/vyhl%C3%A1%C5%A1en%C3%AD-v%C3%BDherc%C5%AF-sout%C4%9B%C5%BEe-o-produkty-listerine/1084273568345871/,"Vyhlášení výherců soutěže o produkty LISTERINE",,,,"03/30/2017 11:48:58 PM"," ",2605,2605,0,3787,3787,0,203,194,276,1,1,3662,2545,0,0,197,,,,,,,,,0,0,21,29,1,23,29,1,,,194,,,,276,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134937073279530_1084285421678019,https://www.facebook.com/lekarnadrmax/posts/1084285421678019,"Zelený čaj se krátce vylouhuje a lístky vyhodí. To listy matcha se našlehají s vodou a vypijí celé! Tak se z nich dostane mnohem více vitamínů, minerálů a jedinečných aminokyselin. Už jste ho vyzkoušeli? :)",Link,,,"03/29/2017 01:09:00 AM"," ",5460,2869,2591,6614,3947,2667,46,32,34,0,0,3915,2645,176,168,42,0,0,0,0,0,0,0,0,0,0,,18,2,,18,2,,23,10,,,23,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134937073279530_1083328778440350,https://www.facebook.com/lekarnadrmax/posts/1083328778440350,"Myslete na svou pleť! Do 31.3. navíc můžete využít naší akce na e-shopu, kdy při nákupu 1 produktu Uriage Xémose získáte druhý produkt jen za 0,01Kč!",Link,,,"03/27/2017 07:26:11 AM"," ",2063,2063,0,3013,3013,0,37,29,57,3,3,2979,2041,0,0,36,0,0,0,0,0,0,0,0,0,0,,9,1,,9,1,,11,24,,,11,46,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134937073279530_1079120205527874,https://www.facebook.com/lekarnadrmax/posts/1079120205527874,"Vyhrajte denní krém Nuance Magical Radiance Control! Chcete vědět více? Sledujte nás na Instagramu a na našem profilu se dozvíte vše potřebné! &lt;3",Link,,,"03/24/2017 02:04:50 AM"," ",1282,1282,0,1910,1910,0,33,20,21,1,1,1794,1218,0,0,32,0,0,0,0,0,0,0,0,0,0,,15,1,,15,2,,12,8,,,12,9,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134937073279530_1065171113589450,https://www.facebook.com/lekarnadrmax/posts/1065171113589450:0,"Soutěžte i dnes o produkty Listerine! Soutěžní otázka tohoto kola zní:

Je prokázáno, že ústní voda LISTERINE® TOTAL CARE při používání dvakrát denně čistí a chrání pro celkové zdraví ústní dutiny pomocí 6 výhod, jakých?

Kompletní pravidla naší soutěže najdete zde: bit.ly/ListerineSoutez",Photo,,,"03/22/2017 07:36:24 AM"," ",7449,7449,0,11686,11686,0,322,287,948,5,5,8555,5465,0,0,271,,,,,,,,,0,0,174,145,72,199,158,85,,26,224,109,,26,664,258,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134937073279530_1048148508625044,https://www.facebook.com/lekarnadrmax/posts/1048148508625044,"Je tu první jarní den, cítíte ty vůně? Ne? Možná je na čase přestat s kouřením! Víte, že už po 48 hodinách bez cigarety se vám začne vracet ztracený čich? To stojí za to vyzkoušet! :)",Link,,,"03/19/2017 11:00:00 PM"," ",3299,3299,0,4659,4659,0,32,18,18,1,1,4466,3136,0,0,28,0,0,0,0,0,0,0,0,0,0,3,16,3,4,16,3,,6,12,,,6,12,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134937073279530_1072858019487426,https://www.facebook.com/lekarnadrmax/videos/1072858019487426/,"Oslavte dnešní krásný den barvami! Právě dnes ve světě slaví svátek svatého Patrika. Oslavte jej i vy s naším zeleným smoothie! 🍀",Video,,,"03/17/2017 06:23:20 AM"," ",23978,1508,22470,33671,3094,30577,105,83,96,0,0,6060,3355,3601,1951,28,82,80,1380,1337,580,521,7444,6881,0,27731,,23,4,,24,4,50,,37,2,50,,44,2,,,,,0.8799,1,0.998,0.9876,0.8613,0.776,0.6991,0.6431,0.5998,0.5618,0.5369,0.5181,0.4992,0.4826,0.461,0.4419,0.4257,0.407,0.3909,0.371,0.3571,0.3467,0.3097,0.2762,0.2447,0.2211,0.1953,0.1732,0.1319
134937073279530_1069395133167048,https://www.facebook.com/notes/drmax-l%C3%A9k%C3%A1rna/vyhl%C3%A1%C5%A1en%C3%AD-v%C3%BDherc%C5%AF-sout%C4%9B%C5%BEe-o-produkty-rilastil/1069395133167048/,"Vyhlášení výherců soutěže o produkty Rilastil",,,,"03/16/2017 03:07:22 AM"," ",1501,1501,0,2377,2377,0,101,97,124,1,1,2324,1472,0,0,100,,,,,,,,,0,0,1,12,1,1,13,1,,,96,1,,,123,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134937073279530_1065170706922824,https://www.facebook.com/lekarnadrmax/posts/1065170706922824:0,"Pondělí je tu! A s ním i naše soutěž s Listerine! &lt;3 Naše druhá soutěžní otázka zní:

U které ústní vody LISTERINE® bylo prokázáno, že při vyplachování 2krát denně odstraňuje zabarvení zubů a brání jeho vzniku, takže za 2 týdny mohou být Vaše zuby bělejší?

Kompletní pravidla naší soutěže najdete zde: bit.ly/ListerineSoutez",Photo,,,"03/13/2017 07:01:58 AM"," ",8436,8436,0,13230,13230,0,373,317,746,3,3,9643,6012,0,0,330,,,,,,,,,0,0,222,162,76,247,168,88,,40,237,116,,42,462,242,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
