Date,Event,Type
01/01/2016,New Year's Day,Holidays in Andorra
06/01/2016,Epiphany,Holidays in Andorra
08/02/2016,Carnival,Holidays in Andorra
14/03/2016,Constitution Day,Holidays in Andorra
25/03/2016,Good Friday,Holidays in Andorra
27/03/2016,Daylight Saving Time starts,Holidays in Andorra
28/03/2016,Easter Monday,Holidays in Andorra
01/05/2016,Labour Day/May Day,Holidays in Andorra
15/05/2016,Whit Sunday,Holidays in Andorra
16/05/2016,Whit Monday,Holidays in Andorra
15/08/2016,Assumption of Mary,Holidays in Andorra
08/09/2016,National Day,Holidays in Andorra
30/10/2016,Daylight Saving Time ends,Holidays in Andorra
01/11/2016,All Saints' Day,Holidays in Andorra
08/12/2016,Feast of the Immaculate Conception,Holidays in Andorra
25/12/2016,Christmas Day,Holidays in Andorra
26/12/2016,Boxing Day,Holidays in Andorra
01/01/2017,New Year's Day,Holidays in Andorra
06/01/2017,Epiphany,Holidays in Andorra
27/02/2017,Carnival,Holidays in Andorra
14/03/2017,Constitution Day,Holidays in Andorra
26/03/2017,Daylight Saving Time starts,Holidays in Andorra
14/04/2017,Good Friday,Holidays in Andorra
17/04/2017,Easter Monday,Holidays in Andorra
01/05/2017,Labour Day/May Day,Holidays in Andorra
04/06/2017,Whit Sunday,Holidays in Andorra
05/06/2017,Whit Monday,Holidays in Andorra
15/08/2017,Assumption of Mary,Holidays in Andorra
08/09/2017,National Day,Holidays in Andorra
29/10/2017,Daylight Saving Time ends,Holidays in Andorra
01/11/2017,All Saints' Day,Holidays in Andorra
08/12/2017,Feast of the Immaculate Conception,Holidays in Andorra
25/12/2017,Christmas Day,Holidays in Andorra
26/12/2017,Boxing Day,Holidays in Andorra
01/01/2018,New Year's Day,Holidays in Andorra
06/01/2018,Epiphany,Holidays in Andorra
12/02/2018,Carnival,Holidays in Andorra
14/03/2018,Constitution Day,Holidays in Andorra
25/03/2018,Daylight Saving Time starts,Holidays in Andorra
30/03/2018,Good Friday,Holidays in Andorra
02/04/2018,Easter Monday,Holidays in Andorra
01/05/2018,Labour Day/May Day,Holidays in Andorra
20/05/2018,Whit Sunday,Holidays in Andorra
21/05/2018,Whit Monday,Holidays in Andorra
15/08/2018,Assumption of Mary,Holidays in Andorra
08/09/2018,National Day,Holidays in Andorra
28/10/2018,Daylight Saving Time ends,Holidays in Andorra
01/11/2018,All Saints' Day,Holidays in Andorra
08/12/2018,Feast of the Immaculate Conception,Holidays in Andorra
25/12/2018,Christmas Day,Holidays in Andorra
26/12/2018,Boxing Day,Holidays in Andorra
01/01/2016,New Year's Day,Holidays in United Arab Emirates
05/05/2016,Leilat al-Meiraj (The Prophet's Ascension),Holidays in United Arab Emirates
06/06/2016,Ramadan begins,Holidays in United Arab Emirates
06/07/2016,Eid-al-Fitr (End of Ramadan),Holidays in United Arab Emirates
09/07/2016,Eid-al-Fitr Holiday 2,Holidays in United Arab Emirates
10/09/2016,Arafat (Haj) Day,Holidays in United Arab Emirates
11/09/2016,Eid-al-Adha (Feast of Sacrifice),Holidays in United Arab Emirates
12/09/2016,Eid-al-Adha Holiday 1,Holidays in United Arab Emirates
13/09/2016,Eid-al-Adha Holiday 2,Holidays in United Arab Emirates
02/10/2016,Al-Hijra (Islamic New Year),Holidays in United Arab Emirates
01/12/2016,Commemoration Day,Holidays in United Arab Emirates
02/12/2016,National Day,Holidays in United Arab Emirates
11/12/2016,Mouloud (The Prophet's Birthday),Holidays in United Arab Emirates
31/12/2016,New Year's Eve,Holidays in United Arab Emirates
01/01/2017,New Year's Day,Holidays in United Arab Emirates
24/04/2017,Leilat al-Meiraj (The Prophet's Ascension),Holidays in United Arab Emirates
25/05/2017,Ramadan begins,Holidays in United Arab Emirates
25/06/2017,Eid-al-Fitr (End of Ramadan),Holidays in United Arab Emirates
27/06/2017,Eid-al-Fitr Holiday 1,Holidays in United Arab Emirates
28/06/2017,Eid-al-Fitr Holiday 2,Holidays in United Arab Emirates
31/08/2017,Arafat (Haj) Day,Holidays in United Arab Emirates
01/09/2017,Eid-al-Adha (Feast of Sacrifice),Holidays in United Arab Emirates
02/09/2017,Eid-al-Adha Holiday 1,Holidays in United Arab Emirates
03/09/2017,Eid-al-Adha Holiday 2,Holidays in United Arab Emirates
21/09/2017,Al-Hijra (Islamic New Year),Holidays in United Arab Emirates
30/11/2017,Mouloud (The Prophet's Birthday),Holidays in United Arab Emirates
30/11/2017,Commemoration Day,Holidays in United Arab Emirates
02/12/2017,National Day,Holidays in United Arab Emirates
31/12/2017,New Year's Eve,Holidays in United Arab Emirates
28/04/2016,Afghan Victory Day,Holidays in Afghanistan
07/06/2016,Ramadan starts,Holidays in Afghanistan
05/07/2016,Eid al-Fitr,Holidays in Afghanistan
19/08/2016,Independence Day (National Day),Holidays in Afghanistan
13/09/2016,Eid al-Qurban,Holidays in Afghanistan
12/10/2016,Ashura,Holidays in Afghanistan
20/11/2016,Arba'een,Holidays in Afghanistan
12/12/2016,The Prophet's Birthday,Holidays in Afghanistan
28/04/2017,Afghan Victory Day,Holidays in Afghanistan
27/05/2017,Ramadan starts,Holidays in Afghanistan
26/06/2017,Eid al-Fitr,Holidays in Afghanistan
